followers,genres,artist,popularity
164709.0,"['classic bollywood', 'filmi', 'ghazal', 'sufi']",S. D. Burman,32
344838.0,['social media pop'],Dobre Brothers,32
165579.0,['arab pop'],Haytham Shaker,32
100314.0,"['folk brasileiro', 'nova mpb']",Verso de Nós,32
103477.0,['v-pop'],Vy Oanh,32
175201.0,"['brazilian gospel', 'gospel antigas']",Cassiane e Jairinho,32
144300.0,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",Andy Boy,32
134993.0,"['gengetone', 'kenyan hip hop', 'kenyan pop']",Octopizzo,32
105483.0,"['bachata', 'bachata dominicana', 'latin', 'tropical']",El Gringo De La Bachata,32
166917.0,"['arab pop', 'egyptian pop']",Latifa,32
107925.0,['opm'],Vice Ganda,32
160333.0,['social media pop'],Tanner Fox,32
193111.0,"['arab pop', 'classic arab pop', 'syrian pop']",Mayada El Hennawy,32
139928.0,"['k-pop', 'k-pop boy group']",HotShot,32
159739.0,['social media pop'],Martinez Twins,32
158174.0,"['k-pop', 'k-pop boy group']",CROSS GENE,32
100073.0,['indonesian pop'],Ari Irham,32
134597.0,['trap brasileiro'],Matheus Yurley,33
105738.0,"['sertanejo pop', 'sertanejo universitario']",Cacio & Marcos,33
404268.0,"['corrido', 'norteno', 'regional mexican']",Los Cadetes,33
296259.0,['sertanejo pop'],Edu Chociay,33
121112.0,"['arab folk', 'belly dance', 'classic arab pop']",Mohammed Abdel Wahab,33
132806.0,['classic tollywood'],Vandemataram Srinivas,33
493846.0,['moroccan pop'],Jannat,33
113388.0,"['brazilian hip hop', 'rap nacional antigo']",Detentos do Rap,33
121602.0,['malaysian pop'],Tajul,33
103785.0,"['funk carioca', 'funk ostentacao']",Mc Kauan,33
141959.0,"['electro', 'funk', 'minneapolis sound', 'new jack swing', 'quiet storm']",Morris Day,33
195443.0,['funk carioca'],Mc Bella,33
140869.0,['axe'],Vingadora,33
193944.0,"['arab pop', 'egyptian pop']",Loai,33
289427.0,['funk carioca'],Dream Team do Passinho,33
133038.0,['brazilian gospel'],Amanda Ferrari,33
119712.0,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']",Tião Carreiro & Praiano,33
113292.0,"['k-pop', 'k-pop girl group']",BESTie,33
178588.0,['argentine telepop'],Eiza,33
507538.0,['latin viral pop'],Kimberly Loaiza,33
125564.0,"['deep turkish pop', 'turkish pop']",Ebru Polat,33
199763.0,"['hip pop', 'pop r&b', 'urban contemporary']",Teairra Marí,33
130894.0,"['opm', 'pinoy idol pop']",Jason Dy,33
138168.0,"['indian indie', 'indian rock']",Agnee,33
100561.0,['j-pop girl group'],Happiness,33
440695.0,['latin viral pop'],La Divaza,33
109553.0,"['k-pop', 'k-pop boy group']",HISTORY,33
173872.0,"['adoracao', 'brazilian gospel']",Filhos Do Homem,34
587564.0,['latin viral pop'],Calle y Poché,34
121254.0,['social media pop'],Cast of The Lodge,34
115346.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Carlos & Jader,34
150086.0,['latin viral pop'],Ariann Music,34
139905.0,['funk ostentacao'],MC K9,34
116214.0,['arab pop'],Omar Khairat,34
127715.0,['deep regional mexican'],Los Chairez,34
182871.0,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'sarod', 'sufi']",Amjad Ali Khan,34
100257.0,"['k-pop', 'k-pop girl group']",BerryGood,34
107286.0,['europop'],Mel B,34
172710.0,"['k-pop', 'k-pop boy group']",IN2IT,34
113009.0,['gospel'],Kurt Carr,34
116866.0,"['bossa nova', 'choro', 'mpb', 'samba', 'velha guarda']",Noel Rosa,34
106793.0,['khaliji'],Khaled Abdul Rahman,34
127592.0,['opm'],Kim Chiu,34
165760.0,['funk paulista'],MC Gudan,34
107032.0,['teen pop'],Joey Graceffa,34
247852.0,"['arab pop', 'egyptian pop']",Amal Maher,34
164914.0,['moroccan pop'],Aminux,34
185638.0,"['k-pop', 'k-pop boy group']",MXM,34
140163.0,"['k-pop', 'k-pop boy group']",ToppDogg,34
190912.0,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'pakistani pop', 'sufi']",Noor Jehan,35
154029.0,"['classic arab pop', 'khaliji']",Rabeh Saqer,35
192346.0,"['filmi', 'modern bollywood']",Shantanu Moitra,35
137039.0,"['australian pop', 'teen pop']",The Janoskians,35
641995.0,"['filmi', 'indian folk', 'indian fusion', 'indian indie', 'indian rock']",Indian Ocean,35
108840.0,['turkish pop'],Melis Kar,35
129274.0,"['hip pop', 'virginia hip hop']",Timbaland & Magoo,35
756299.0,"['arabic hip hop', 'egyptian hip hop', 'egyptian pop']",Ahmed Mekky,35
109929.0,['punk'],Sid Vicious,35
105727.0,['sandalwood'],Arjun Janya,35
133092.0,"['k-pop', 'k-pop girl group']",UNI.T,35
103620.0,"['french hip hop', 'pop urbaine', 'rap francais']",Badjer,35
177035.0,"['hip pop', 'pop r&b', 'r&b', 'urban contemporary']",Brooke Valentine,35
211779.0,"['desi pop', 'punjabi pop']",Karam Bajwa,35
101300.0,['k-pop'],KIM DONG HAN,35
100343.0,['malaysian pop'],Ara Johari,35
161060.0,['malaysian pop'],Aiman Tino,35
186804.0,"['funk carioca', 'funk ostentacao']",Mc Nego Blue,35
150890.0,['v-pop'],Châu Khải Phong,35
104758.0,"['brazilian gospel', 'rock gospel brasileiro']",Khorus,35
185281.0,['trap queen'],Taylor Girlz,35
247127.0,['funk bh'],Camila Loures,35
182574.0,['latin viral pop'],Amara Que Linda,35
398971.0,['brazilian gospel'],Ministério Apascentar de Nova Iguaçu,35
491940.0,"['k-pop', 'k-rap']",T.O.P,35
115186.0,['pop r&b'],Tammy Rivera,35
113043.0,"['mahraganat', 'shaabi']",Mahmoud El Leithy,35
102558.0,"['italian hip hop', 'italian underground hip hop']",Canesecco,35
104807.0,"['chopped and screwed', 'dirty south rap', 'dirty texas rap', 'houston rap']",H.A.W.K.,35
100922.0,['classic city pop'],Tatsuro Yamashita,35
236393.0,"['social media pop', 'teen pop']",Carson Lueders,35
113476.0,"['album rock', 'art rock', 'flute rock', 'progressive rock', 'symphonic rock']",Ian Anderson,35
101300.0,"['funk carioca', 'funk ostentacao']",MC Smith,35
221216.0,['latin viral pop'],Sandra Cires,35
280078.0,"['k-pop', 'k-pop boy group']",VIXX LR,35
191363.0,['v-pop'],Tien Cookie,35
107495.0,"['k-pop', 'k-pop boy group']",UNB,35
100508.0,"['adoracao', 'brazilian gospel', 'rock gospel brasileiro']",Fruto Sagrado,36
101523.0,['ecuadorian pop'],Johann Vera,36
183672.0,"['forro', 'forro de favela', 'tecnobrega']",Banda A Loba,36
185537.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Janaynna,36
160549.0,['v-pop'],Ngô Kiến Huy,36
137483.0,"['atl hip hop', 'deep southern trap', 'trap']",Bankroll Mafia,36
113842.0,"['afghan pop', 'classic pakistani pop', 'ghazal', 'pakistani pop', 'sufi']",Hadiqa Kiani,36
101596.0,"['bhangra', 'desi pop', 'punjabi pop']",Soni Pabla,36
131279.0,"['arab folk', 'classic arab pop', 'syrian pop']",Sabah Fakhri,36
108181.0,"['blues rock', 'country rock', 'electric blues', 'southern rock']",Duane Allman,36
152260.0,"['deep turkish pop', 'turkish pop']",Tuğba Özerk,36
154721.0,"['latin talent show', 'latin viral pop']",Operación Triunfo 2017,36
154098.0,['funk carioca'],MC Arraia,36
152372.0,"['filmi', 'mollywood']",Kalabhavan Mani,36
225759.0,['filmi'],Avadhoot Gupte,36
132894.0,"['classic arab pop', 'lebanese pop', 'rif']",Sabah,36
142531.0,"['classic pakistani pop', 'pakistani pop', 'sufi']",Noori,36
131898.0,"['thai indie', 'thai indie pop', 'thai pop', 'thai rock']",Moderndog,36
137147.0,"['boy band', 'social media pop', 'teen pop']",Forever in Your Mind,36
139823.0,"['funk carioca', 'funk ostentacao', 'funk paulista']",Mc Mãozinha,36
310997.0,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'sufi']",Talat Mahmood,36
116494.0,"['adoracao', 'world worship']",Adoração Central,36
310568.0,"['atl hip hop', 'social media pop']",MattyB,36
123052.0,['teen pop'],Sammy Wilk,36
224301.0,['k-pop'],Holland,36
246958.0,"['funk carioca', 'funk ostentacao']",MC Lon,37
174411.0,"['classic thai pop', 'thai pop']",Peacemaker,37
162311.0,"['classic pakistani pop', 'ghazal', 'pakistani pop', 'sufi']",Sajjad Ali,37
245131.0,"['dangdut', 'dangdut koplo', 'dangdut remix']",Zaskia Gotik,37
140369.0,"['arab pop', 'classic arab pop', 'lebanese pop']",Julia Boutros,37
221687.0,"['arab pop', 'moroccan pop']",Asma Lmnawar,37
294507.0,"['arab pop', 'egyptian pop']",Hossam Habib,37
254945.0,"['dangdut', 'dangdut koplo']",Dangdut Koplo Nirwana,37
249386.0,"['dangdut', 'dangdut koplo']",Dangdut Koplo,37
169543.0,"['classic bollywood', 'classic pakistani pop', 'ghazal', 'pakistani pop', 'sufi']",Farida Khanum,37
391307.0,['post-teen pop'],Debby Ryan,37
134930.0,['opm'],Jonalyn Viray,37
117934.0,['turkce remix'],Elif Kaya,37
131395.0,"['country', 'country dawn', 'country road']",Trick Pony,37
504069.0,"['brega funk', 'funk carioca', 'funk ostentacao']",Mc Jhey,37
117674.0,['brazilian gospel'],Rayanne Vanessa,37
113053.0,['turkish trap pop'],Ersan Er,37
145097.0,"['moroccan pop', 'rif']",Zakaria Ghafouli,37
238149.0,"['funk carioca', 'funk ostentacao', 'funk paulista']",Mc Leo da Baixada,37
110976.0,"['avant-garde metal', 'doom metal', 'drone', 'drone metal', 'dub metal', 'experimental', 'post-doom metal', 'post-metal']",Sunn 0))),37
112717.0,"['adoracion', 'latin christian', 'latin worship']",Doris Machin,37
141422.0,['funk carioca'],Bonde das Maravilhas,37
141473.0,"['modern bollywood', 'sufi']",Silk Route,37
106436.0,['cumbia pop'],Pijama Party,37
260733.0,['forro'],Solteirões do Forró,37
113180.0,"['bhangra', 'classic bhangra', 'classic punjabi pop', 'punjabi folk', 'punjabi pop']",Kuldeep Manak,37
106226.0,['rap maroc'],Mr. Crazy,37
105697.0,['mahraganat'],El Madfaagya,37
116570.0,"['classic thai pop', 'thai folk pop', 'thai folk rock']",Suer Thanapon,37
180067.0,['korean r&b'],YURI,37
114256.0,"['death metal', 'deathrash', 'metal', 'thrash metal']",Possessed,37
136213.0,['parody'],Bart Baker,37
124427.0,['latin viral rap'],Willyrex,37
103941.0,['musica popular colombiana'],Alexis Escobar,37
193929.0,['sertanejo pop'],Villa Baggage,37
108109.0,['spanish hip hop'],Nach Scratch,37
155120.0,['tollywood'],Kalyani Malik,37
120700.0,"['axe', 'forro']",Forró do Muido,37
