year,category,nominee,workers,artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo
2010,Best Rap Song,Run This Town,"Jeff Bhasker, Shawn Carter, Robyn Fenty, Kanye West & Ernest Wilson, songwriters (Jay-Z, Rihanna & Kanye West)","['JAY-Z', 'Rihanna', 'Kanye West']",0.428,0.3229999999999999,0.591,268013,0.921,0.0,0.302,-1.787,52,0.313,86.80799999999998
2010,Best Country Collaboration With Vocals,I Told You So,,['Randy Travis'],0.225,0.349,0.633,219947,0.325,0.0,0.114,-9.05,49,0.0268,79.079
2010,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",Up,"Michael Giacchino, composer; Dan Wallin, engineer/mixer (Various Artists)",['Justin Bieber'],0.589,0.084,0.711,234933,0.7170000000000001,0.0,0.09,-4.317,54,0.0396,125.949
2010,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",Up,"Michael Giacchino, composer; Dan Wallin, engineer/mixer (Various Artists)",['Wiz Khalifa'],0.289,0.687,0.457,258456,0.449,6.61e-05,0.156,-11.081,44,0.253,94.281
2009,Best Traditional Gospel Album,Down In New Orleans,"Chris Goldsmith, producer; Jimmy Hoyson, engineer/mixer",['Anika Noni Rose'],0.428,0.56,0.615,146693,0.475,0.0,0.252,-5.6560000000000015,46,0.0295,137.694
2008,Record Of The Year,Rehab,"Mark Ronson, producer; Tom Elmhirst, Samuel ""Vaughan"" Merrick, Dom Morley, Mark Ronson & Gabriel Roth, engineers/mixers",['Rihanna'],0.397,0.00321,0.583,294720,0.792,4.92e-05,0.315,-5.894,66,0.0533,80.055
2008,Song Of The Year,Rehab,"Amy Winehouse, songwriter (Amy Winehouse)",['Rihanna'],0.397,0.00321,0.583,294720,0.792,4.92e-05,0.315,-5.894,66,0.0533,80.055
2008,Best Female Pop Vocal Performance,Rehab,,['Rihanna'],0.397,0.00321,0.583,294720,0.792,4.92e-05,0.315,-5.894,66,0.0533,80.055
2008,Best Female R&B Vocal Performance,No One,,['Maoli'],0.8490000000000001,0.603,0.6409999999999999,270613,0.5,0.0,0.188,-8.816,48,0.0418,79.922
2008,Best R&B Song,No One,"Kerry ""Krucial"" Brothers, Dirty Harry & Alicia Keys, songwriters (Alicia Keys)",['Maoli'],0.8490000000000001,0.603,0.6409999999999999,270613,0.5,0.0,0.188,-8.816,48,0.0418,79.922
