artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,popularity
Rajni,0.39,0.995,0.425,169917.0,0.206,0.3,0.122,-12.693,0.0506,86.676,0.0
Hori Baiji,0.355,0.984,0.4320000000000001,191213.0,0.195,5.43e-06,0.5670000000000001,-8.541,0.0771,169.765,0.0
Rajé Shwari,0.973,0.975,0.685,94319.0,0.373,0.38,0.223,-8.747,0.0909,124.718,0.0
Hot Contender,0.655,0.277,0.7559999999999999,202612.0,0.642,0.0,0.0762,-8.228,0.116,133.988,0.0
Soula Karagiorgi,0.5053333333333333,0.9924666666666667,0.3956666666666667,191927.13333333333,0.3950666666666667,0.20648568799999997,0.2638466666666667,-11.266,0.047606666666666665,108.45726666666665,0.0
Soul Sister,0.161,0.436,0.398,169365.0,0.495,0.00916,0.117,-6.787000000000001,0.0261,69.046,0.0
Ralph Burns Orchestra,0.188,0.929,0.414,295093.0,0.194,0.8240000000000001,0.161,-13.901,0.0311,85.281,0.0
Effective,0.142,0.00052,0.647,512923.0,0.606,0.816,0.197,-9.588,0.0697,130.014,0.0
Bobby Brown Quartet,0.316,0.7070000000000001,0.341,392267.0,0.41,0.0837,0.0984,-12.915,0.0329,123.21,0.0
Sotos Panagopoulos,0.6880000000000001,0.994,0.484,204440.0,0.413,0.8415,0.1815,-14.5905,0.04505,98.6215,0.0
Sotiris Stasinopoylos,0.7395,0.9895,0.4065,284793.5,0.538,0.07694999999999999,0.3345,-7.480500000000001,0.045149999999999996,98.275,0.0
Sotiris Stasinopoulos,0.5583478260869565,0.9949130434782608,0.4175217391304348,246776.86956521738,0.3184782608695652,0.8149043478260869,0.20109565217391306,-13.780521739130435,0.0734391304347826,86.05504347826087,0.0
Hpeirotiki melodia,0.591,0.992,0.4,169080.0,0.465,0.941,0.112,-7.895,0.0416,110.97,0.0
Hrisoula Stini,0.7635000000000001,0.988,0.6160000000000001,195103.5,0.345,0.016202545,0.1425,-10.9845,0.041800000000000004,94.25450000000001,0.0
Sotirios Panos,0.293,0.943,0.349,190421.0,0.238,0.00107,0.411,-16.570999999999998,0.0531,83.917,0.0
Rajkumari Varanasi,0.256,0.989,0.363,186235.0,0.277,0.857,0.5770000000000001,-10.838,0.045,168.90900000000005,0.0
Souren Roy,0.357,0.972,0.35,190427.0,0.165,0.00221,0.106,-15.373,0.0369,83.95,0.0
Rajkumari Calcutta,0.47650000000000003,0.984,0.43,173755.0,0.3315,0.5635,0.363,-10.7515,0.0803,82.1015,0.0
Rajan,0.8079999999999999,0.994,0.537,198647.0,0.0892,0.434,0.311,-11.611,0.189,72.72800000000002,0.0
Rai Krmat,0.591,0.9835,0.483,184906.5,0.47850000000000004,0.3825031,0.232,-12.1005,0.1135,84.81649999999999,0.0
