genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
alternative americana,34.82192708333333,49.3904513888889,224527.29861111112,49.82638888888888,17.12250775694444,19.12529513888888,-979.526736111111,4.69487847222222,125.1544184027778,44.46961805555555,49.82291666666666
alternative country,40.71150580061164,54.25796669270009,249887.8559483778,51.81552411956074,3.93726645833564,17.47228346275166,-1029.0235627460509,4.51604442303254,120.26777292129756,51.37621412515364,42.85791917624276
alternative dance,15.18057072040015,60.406644018775225,268439.2936782172,73.70190259126484,21.12709603567983,19.14646453326588,-663.7478840309943,5.49305113528005,126.09572290508493,52.60616902218979,51.05249879643903
alternative emo,12.812226154687028,49.480798143156655,216945.0483378257,71.58729260257562,4.39424859029649,18.929196466007788,-703.7806588799043,7.211657382449831,130.59866433063792,44.31474543276429,47.24684037136869
alternative hip hop,18.82624872239785,70.09170241158567,246410.96788355516,69.28150714421379,3.73739561853813,23.460399749257547,-751.6890543495352,25.064721501448673,106.86016172123112,61.2556826541036,47.22568090235551
alternative metal,5.8247125931528,45.88281151396744,245465.761759632,83.08012093781899,10.10593598200337,21.00297731250429,-588.7320968125027,8.26876575048229,126.2008731227211,41.53036925825164,47.29666726624183
alternative pop,11.00678324866582,45.50662576444718,221230.53096509312,75.92710154263726,21.46155300291306,17.259481497371677,-879.1657368369067,5.09041313131313,128.57391879006906,54.75577360080395,37.63709806397306
alternative pop rock,17.04674458874458,61.922943722943735,200145.9480519481,72.02441558441559,0.0012122337662337662,18.75830303030302,-475.10051948051955,6.870593073593071,116.99954891774888,64.37601731601733,54.08095238095239
alternative r&b,30.71436408855493,66.22768826542452,232475.3738807661,54.428571865309024,2.19713253480924,17.20057522211178,-807.7162285469462,13.147525888690689,114.09290373594338,44.90272115741773,58.48419410253855
alternative rock,15.70587193792125,47.83424276886565,240339.44120031735,71.17322313989153,16.5487829112564,19.039048143802688,-830.5646269880699,6.22740005330204,125.4851876376684,50.58402960386075,42.72960825695093
alternative roots rock,26.912173684210522,49.33421052631579,253674.0,61.815789473684205,10.72080881578947,16.96342105263157,-727.2171052631577,5.84947368421052,113.2267894736842,42.618421052631575,45.76315789473684
